Demanda;Categoria
Bom Dia, tudo bem?Teria como saber se uma pessoa falecida e que tinha divida com o Banco, possuia seguro prestamista? Tentei esta informação junto ao Banco e não consegui.Inclusive, pesquisei na internet, e não sei se entendi direito, mas parece que o Banco pode fazer esse seguro prestamista após o falecimento.Poderia por favor me ajudar a entender?O falecido seria o Sr. B, CPF(MF) 333.333.333-33.Atenciosamente.COAB/SP 333.333;Seguro de Pessoas
Preciso ter acesso às regras do seguro de vida em grupo, contratado junto a um consórcio. Se possível, ter acesso à uma apólice.A seguradora me informa que o número da minha apólice é 3333333333333. Caso seja possível, gostaria de ter acesso à esta apólice específica, na íntegra. Caso naõ, gostaria de saber o que cobre um seguro em grupo.O meu contratato de adesão diz se tratar de um seguro prestamista. Porém, o banco diz se tratar de um seguro de vida em grupo.Fato é que contratei um consórcio de imóvel em 3333. O seguro me foi vendido sem a informação básica de que sua contratação era facultativa. Agora preciso saber em que situações posso acionar o seguro e como. Para isso preciso ter acesso à íntegra da apólice.;Seguro de Pessoas
Abri um sinistro (3333333333333) com a Porto Seguro e deixei o veículo na oficina credenciada dia 33/33/33. Após 33 dias, fui informada pela oficina que estava sem peças de reposição para o conserto nas montadoras/fabricante. Aí, a seguradora me enviou um e-mail dizendo que tinha disponibilizado um valor para eu, cliente, fazer a aquisição das peças que estavam faltando. Liguei nas concessionárias da FIAT e me confirmaram que a fábrica não tem produzido mais as peças necessárias ao conserto, mas que eu conseguiria achá-las usadas ou no mercado paralelo. Eu disse que tinha seguradora e que ela tinha falado para eu, cliente, procurá-las e o funcionário da própria fábrica disse que era um absurdo passar esse ônus ao cliente, que não tem conhecimento técnico (o que eu concordei, óbvio). Com indignação, entrei em contato novamente pelo chat da seguradora e não me deram outra opção. Disseram que a culpa é da montadora, e agora ficam nesse empurra-empurra (seguradora e montadora), enquanto o cliente fica desassistido, sem veículo, sem previsão de conserto e aguardando sabe-se lá o quê. Eu com dois filhos pequenos em idade escolar, minha mãe cadeirante e tendo ainda gastos com Uber, pois a seguradora se nega a dar voucher até a resolução do problema. Ou seja, pagamos caríssimo um seguro por anos, e pela primeira vez quando vamos usá-lo, não temos solução ao caso. Vou ser obrigada a procurar a justiça? Gostaria que a SUSEP notificasse a seguradora para que cumpra o contrato de seguro e faça a aquisição das peças necessárias ao conserto do veículo.;Seguro de Automoveis
Acesso ao processo administrativo para protocolar habilitação, segue o link do processo: https://sei.susep.gov.br/sei/modulos/pesquisa/md_pesq_processo_pesquisar.php acao_externa=protocolo_pesquisar&acao_origem_externa=protocolo_pesquisar&id_orgao_acesso_externo=3 nº do processo 33333.333333/3333-33;Não identificada
"Prezados, boa tarde.Recebemos uma reclamação do segurado, dizendo que não esta conseguindo verificar o registro do endosso 3333333333333333333333333, segue abaixo:> De: Thiago  email> em nome de CESUP GEFOR BH - GEFOR 3  email>> Enviado: terça-feira, 3 de agosto de 3333 33:33> Para: Brasifort  email>> Cc: Vania  email>; Sueli   email>; Patricia  email>> Assunto: GEFOR33: 333333333333 - BRASIFORT - Endosso da garantia contratual para cobertura do aditivo 33>  >> #intern> Prezados (as), >>> Estou tentando validar o endosso para cobertura do aditivo 33 no site da SUSEP desde que nos enviado, porém o site retorna a mensagem que a apólice não se encontra na base de dados da instituição.  >> Tentei fazer a validade de duas formas que seguem abaixo:>> 3- Pelo número da apólice e do endosso que se encontram logo no início do documento: A resposta que o site traz é que o documento foi emitido no ano de 3333 e que se refere ao aditivo 33, conforme segue o documento em anexo e a foto abaixo: >  Assim, pedimos a gentileza de verificar junto a seguradora o que está ocasionando essa inconsistência. >> Atenciosamente, >> Thiago Peço por gentileza uma ajuda no questionamento acima, precisamos enviar para o segurado o comprovante de registro desse endosso, com urgência.Fotos mencionadas acima estão em anexo.Fico no aguardo e agradeço desde já.Atenciosamente,";Seguro Garantia
Gostaria de ter acesso ás Condições Gerais das Apólices de Transportes de Mercadoria;Outros
Boa noite. Sou advogada e preciso pesquisar se duas pessoas que vieram a obtido possuem algum tipo de seguro. Uma delas é minha avó, a qual envio certidão de óbito da qual foi a declarante. Outra também é de uma amiga, a qual o filho ainda me trará a certidão de óbito (RG anexo). Podem me auxiliar? Desde já agradeço;Seguro de Pessoas
Prezados, Boa Tarde! A mais ou menos 33 meses fiz seguro de meu automóvel em uma associação, caso se relevante o nome informarei posteriormente, ao qual os boletos vencem sempre no dia 33 de cada mês, porém por dificuldades financeiras entrei em contato no dia 33/33 após pagar o boleto vencido no dia 33/33/3333  para não ficar inadimplente, o que foi de imediato concedido e interrompido, todos os benefícios inclusive desligamento do rastreador, mas para minha surpresa no dia 33/33/3333 me enviaram um boleto integral com vencimento em 33/33/3333 mais o valor de uma taxa para retirar o rastreador qu não questionei, o boleto foi no valor integral da da mensalidade, questionei esse valor com os atendentes que me falaram caso  não pagasse colocaria meu nome no SPC, questionei pedindo para enviar boleto proporcional já que o boleto do mês de julho havia sido pago, ela informou que não, pois aquele boleto se referia a junho/3333, mas uma vez questionei porque tem cláusula no contrato que para pedir o cancelamento tenho que estar adimplente, e foi o que fiz paguei o boleto que vencia em 33/33/3333 e em seguida pedi o cancelamento, estão me cobrando mais um mês, então informaei que deveriam cobrar proporcional o justo a fazer, mas não concordaram e mantiveram o valor integral, qual o procedimento a tomar? Caso precisem do boleto e o contrato e as conversas informar que enviarei posteriormente. Atenciosamente, Walcimar Diniz;Seguro de Automoveis
Estou tendo dificuldade para perquisar a validade das apólice , meu telefone  gostaria de retorno;Seguro Garantia
Boa noite! Tenho uma Van de transporte de passageiros com seguro (APP)e recebi a notícia da seguradora me informando, pelo motivo na qual o veículo se encontra com débitos de IPVA vencidos , mesmo com CRLV em dia ,os passageiros não teria direito a indenização em caso de acidente!!Gostaria de saber se procede essa informação?;Não identificada
Olá.Gostaria de saber se tem a possibilidade de consultar, a partir do CPF da minha tia, se ela tinha algum seguro de vida.Isso porque ela tinha um seguro de vida pago pelo seu ex-marido. Eles se divorciaram e depois de um ano e meio ela veio a falecer.Até então eu era o beneficiário do seguro, mas não tenho contato com meu ex-tio. Portanto, gostaria de saber da possibilidade.O CPF dela é: 333.333.333-33 - Izabel;Seguro de Pessoas
"Solicito informação para declarar extrato de VGBL com campos com valores na coluna Participante/Segurado:  Provisão matemática de benefícios a conceder no início do período; Contribuição paga no período;  Rendimentos e extrato PGBL com os mesmos campos também com valores, mas na coluna Instituidora.Obrigada.";Não identificada
Sou corretor de seguros e preciso cadastrar uma nova empresa. Mas nao lembro a senha do login em https://www3.susep.gov.br/safe/Corretores/.Poderiam resetar para o email email, por favor.;Cadastro
"Bom diaEstou com diversos problemas pertinente a minha previdência privada EVIDENCE SANTANTER. Contribui por mais de 33 anos nesse plano de previdência porém na data do dia 33 de Setembro, data onde eu iria começar a receber os meus benefícios vitalícios, a mesma SE RECUSA e efetuar os devidos pagamentos mensais.Já registrei duas reclamações ( protocolos 333333333 em 33 de Setembro de 3333 e 333333333 em 33 de Outubro de 3333) através do canal de atendimento por telefone 3333-3333333 (atendimento via Banco Santander) e a EVIDENCE se recusa a começar a me depositar os meus vencimentos vitalícios alegando que existe um processo sobre essa previdência que ainda não fora 'tramitado e julgado"".O referido processo ao que a EVIDENCE se apoia para não efetuar os pagamentos é devido a EVIDENCE / SANTANDER estar tentando mudar as cláusulas contratuais (processo nº 3333333-33.3333.3.33.3333) para que os participantes do plano não recebam o valor contratuado de IGPM + 3% AA. Conforme já é de pleno conhecimento da SUSEP, desde 3333 a EVIDENCE / SANTANDER está tentando que os participantes do plano mudem de plano abdicando de seus direitos mesmo que a SUSEP já tenha informado a EVIDENCE / SANTANDER  que  qualquer repactuação deverá ser feita DE COMUM ACORDO entre as partes.A EVIDENCE SANTANDER está tentando criar uma instabilidade jurídica pois ela quer mudar as clásulas de um contrato de adesão firmado à mais de 33 anos.O que a EVIDENCE  SANTANDER me sugere para que eles comecem a efetuar os pagamentos é que eu mude para um outro plano de previdência ou que retire o montante total investindo, descontando-se o IR devido.O fato me questão é: Estamos falando de um Plano de Previdência Privado.Eu, como participante deste plano de adesão sem nunca ter atrasado uma parcela não estou tendo os meus direitos assegurados de receber os meus benefícios vitalícios.A SUSEP já vem informando a EVIDENCE  SANTANDER desde 3333 que qualquer repactuação necessitaria a anuência dos participantes do plano.O referido processo já fora julgado em 3 instâncias da justiça brasileira, com a EVIDENCE SANTANDER perdendo nessas duas instâncias.A falta de lisura dessa instituição compromete a dignidade dos participantes do plano que contribuiram nesse plano por mais de 33 anos.Realizando a reclamação no atendimento a SUSEP por telefone hoje (infelizmente o atendimento não gera número de protocolo), fui informado que a SUSEP monitora as reclamações pelo portal consumidor,gov.br entretanto já fiz uma reclamação nesse portal e não fui atendido, sugerindo que eu entre em uma ação com a delegacia do direito do consumidor.Entretanto, como estamos falando sobre a credibilidade do sistema de Seguros Privados, SUGIRO QUE AMBOS EVIDENCE / SANTANDER SEJAM PROIBIDOS IMEDIATAMENTE DE VENDER QUALQUER PRODUTO OU SERVIÇO ENQUANTO NÃO HONRAREM SEUS COMPROMISSOS.Solicito também que a SUSEP entre em contato com a EVIDENCE / SANTANDER como órgão regulador do estado brasileiro e tome as devidas providências para que eu comece a receber imediatamente o que me é de direito pois já será o quarto mês que eu deveria estar recebendo os meus benefícios vitalícios e que a mesma divulgue a bsase de cálculo desses valores mensais aos quais eu tenho direito.Envio anexo alguns documentos divulgados na mídia sobre esse assunto, inclusive documento publicado na homepage da SUSEP em 33 de Julho de 3333 e também em 33 de Janeiro de 3333 sobre o referido tema e o direcionamento da própria SUSEP.Erick Tel: (33) 33333-3333";Previdência Complementar Aberta
"Sou o Dr. Alvarenga, estou entrando em contato pois a Seguradora Zurich Santander, não atende aos pedido de minha cliente para apresentar a cópia de contrato de seguro e prestação de contas do pagamento de seguro em nome de :JOÃO CARLOS, CPF nº 333.333.333-33falecido em: 33/33/3333 ( certidão óbito anexa)                                    Represento sua filha Sra. Aléxia ( rg e procuração anexa)                                    Ocorre que na data de 33/33/3333, a filha do Segurado falecido enviou um email para a Seguradora Zurich, requerendo o pagamento do seguro e a prestação de contas, entre diversos outros emails e telefonemas anteriores a data acima descrita até conseguir.                                       Na data de 33/33/3333, foi feito o pagamento do  seguro de vida no valor de R$ 333.333,33, na conta da filha do segurado falecido que represento.                                        Entretanto, não foi repassado a minha cliente e filha do falecido segurado Sra. Aléxia , a prestação de contas do pagamento do seguro de vida e nem a cópia do contrato de seguro de vida originário da época do falecimento do segurado.                                           Na data de 33/33/3333, foi novamente em contato telefonico da Sra. Aléxia , foi orientada que entrasse em contato através  do call center de número 3333-3333, fez contato ( protocolo nº 333333333) solicitou cópia da apólice e prestação de contas, foi transferida novamente a ligação ( protocolo 333333333), onde orientou a Sra. Aléxia a procurar uma agencia bancária do Santander para pedir cópia do contrato de seguro e prestação de contas.                                            Na data de 33/33/3333, procurou a agencia bancária e lá foi informada que nada sabiam e não era  na agencia o lugar a solicitar esses documentos.                                              Na data de 33/33/3333, novamente entrou em contato pelo call center, solicitando cópia do contrato ( protocolo 333333333), foi transferida novamente ( protocolo 333333333), nesse protocolo com a promessa de envio de cópia para o email, porém nunca chegava o email, transferiram novamente a ligação para o atendente de nome Lucas ( protocolo 333333333), que afirmou que estaria atendendo a solicitação, encaminhando uma cópia do contrato de seguro de vida do falecido ( cópia contrato anexa) ao qual sua vigência se iniciou quase 3 meses após o óbito do segurado.                                             Entende que a Seguradora Zurich, está se omitindo de apresentar a cópia do seguro vigente à época do falecimento do segurado e de prestar contas conforme esclarecido acima e solicitado diversas vezes e com ligações que demoravam muitas horas para ser atendido, onde diversas vezes também desligavam o telefonema.                                               Volto a enfatizar, que na data de 33/33/3333, encaminhei email há alguns departamentos da Zurich Santander, onde responderam o protocolo de nº 333333333, solicitando novamente documentação ao qual a Seguradora já havia recebido e efetuado parcialidade do premio de seguro, entretanto foi respondido novamente o email com a documentação solicitada e novamente a Seguradora Zurich insiste em apresentar/enviar um contrato de seguro de vida que não estava em vigência, para a filha do segurado falecido.                                                 Na data de 33/33/3333, foi respondido o email de protocolo nº 333333333, informando que o contrato de seguro de vida encaminhado a filha do segurado falecido estava incorreto e não foi feita ainda a prestação de contas do pagamento do seguro de vida.                                                   Peço novamente através da SUSEP, que apresentem a cópia do contrato de seguro de vida vigente à época do falecimento do segurado; bem como a prestação de contas da totalidade do pagamento do seguro de vida.                                                                                                        Desde já agradeço e peço encarecidamente a colaboração de todos.                                                    Atenciosamente,           São Paulo, 33 de agosto de 3333.            Alvarenga            OAB/SP – 333.333             Tel: 33 – 3333-3333             Email:   email";Seguro de Pessoas
Boa tarde gostaria de saber o número dos seguros que tem ou tinha no meu CPF pois o banco não me passou o número e não consigo acessar pelo CPF. Muito obrigada pela atenção;Seguro de Pessoas
Bom dia, gostaria de saber se minha susep 333333333 / 333333333 estão suspensas. E se sim qual seria o motivo?Obrigado;Cadastro
Meu acidente aconteceu no dia 33/33, no mesmo dia acionei a BEM PROTEGE via telefone solicitando orientação de como deveria proceder. No sábado pela manhã 33/33 enviei as documentações e fotos solicitadas por e-mail e após aprovação da documentação pela seguradora, escolhi a oficina e em 33/33 terça-feira solicitei o guincho para deslocamento (ele não tinha/tem condições de andar) para a oficina WM. O prazo de retorno de orçamento e validação do sinistro dado pela Bem Protege via contrato/apólice é de 33 dias uteis. Hoje, 33 dias uteis após a abertura de todo o processo, não tenho nenhuma resposta da BEM PROTEGE com a decisão do que será feito com meu bem. Após inúmeras ligações para o telefone indicado a própria empresa não tem clareza do que farão e me relatam diversas histórias. Quando o prazo de 33 dias uteis foi estourado, liguei no SAC e foram diversas desculpas passadas a mim. Que a oficina não tinha mandado todas as fotos, depois, que as fotos que a oficina enviou não foram recepcionadas, as fotos que eles enviaram e chegaram não estavam de acordo e seria necessária uma nova imagem e assim, sigo até hoje. O carro visivelmente não tem condições de reparo pois está totalmente sem alinhamento e com as longarinas tortas, o que faria o carro andar torto, laudos sem aprovação e desvalorização na venda.Após muitas ligações e tentativas amigáveis de resolver diretamente com a Bem Protege, informei que estaria pagando um perito particular para verificar e avaliar o carro IN LOCO, e inclusive, mencionei para eles que se as fotos estão ruins, eles deveriam ter tido o mínimo de respeito em pedir que um perito de uma empresa terceira fosse até o local fazer a tal avaliação.Além disso, solicitei para que eles providenciem o laudo PMG ou LCD para sabermos se o carro será caracterizado como pequena, média ou grande monta e eles disseram que isso não é feito, deveria constar em um boletim de ocorrência (?????????). Mais algumas tentativas e após mencionar que estaria solicitando a perícia, eles informaram que enviariam um perito no local. Pedi também amigavelmente que eles me informassem o dia e horário dessa visita para acompanhamento e para minha surpresa, o perito apareceu de surpresa, vistoriou o carro (em 33/33/33) e sigo ainda aguardando esse laudo – 33h estimado para obter esse retorno.Dentre todas essas histórias, quinta-feira, 33/33 fui informado após ligar novamente que as cotações tinham finalizado e que uma peça estava com o período de entrega em 33 dias uteis pela BEM PROTEGE e que eles iriam pedir para que a oficina fizesse o orçamento para ver se a entrega seria mais rápida. Não recebi retorno.Na segunda, tive a nova informação que o carro seria caracterizado como PERDA TOTAL, entrei novamente em contato com a BEM PROTEGE e eles sequer deram um parecer, que não sabiam em qual embasamento a oficina caracterizou isso e que iriam entrar em contato com a WM.Ainda ontem, 33/33 recebi mais uma ligação da Bem Protege (através da representante comercial que fechou meu contrato) com mais uma nova história, informaram, que a oficina superfaturou uma peça e por esse motivo estavam pedindo esclarecimentos disso e uma nova imagem, bla bla bla.Nesse meio tempo, estou dependendo de carros emprestados, andar de transporte publico, a pé e sem deslocamento por muitos dias, com um bebê de 3 ano e 3 meses e se virando com a situação como dá, além de todo trauma pelo acidente, o desgaste emocional, totalmente desnecessário e EXTREMAMENTE DESRESPEITOSO pela cooperativa/seguradora que se nomeia como “PROTEÇÃO”. Não tiveram a decência de me posicionar desde o início com o que está acontecendo e muito menos agora, cada dia que passa é uma história nova, um prazo novo e eu sigo a mercê esperando apenas que essa situação seja resolvida. Eu como vítima estou abalado e já sem condições de seguir com o tema e ouvir cada hora uma coisa nova, além de estar sem o carro e dependendo da boa vontade de alguém, dia após dia em que essa história não se resolve é sofrimento a mais para mim. Pontos importantes:• Todas as parcelas do seguro estão em dia tal qual o licenciamento do carro.• Como mencionei, estou indo atrás da seguradora em todos os momentos pois eles não fazem retorno quando prometido, os custeios de ligação fora de SP todos arcados por mim.• Deslocamento de Uber, carro emprestado, impactos no trabalho devido total mudança da rotina e logistica para me virar com tudo sem o mínimo de respaldo da Bem protege.• A Regiane - comercial também ficou sendo “enrolada” com as diversas histórias do SAC/SETOR DE PERÍCIA e se sentiu da mesma forma como eu, relato via telefone, pois ela não estava entendendo o que aconteceu para uma demora tão grande e uma falta de respeito enorme comigo.•Reforço que quando escolhi a oficina WM, a Regiane também informou que diversos clientes dela fecharam serviço com essa oficina e a referência era boa, aparentemente uma oficina extremamente rápida no retorno com os orçamentos ( o que nos da a entender que tem algo de errado na história, uma vez que estamos em 33 dias uteis e nada de resposta) e mais rápida ainda com a finalização dos serviços.Diante das minhas tentativas frustradas de saber o que esta acontecendo e o que acontecerá com meu veiculo, registro a reclamação em todos esses órgãos para que a BEM PROTEGE não cometa mais essa negligencia com outros clientes.;Seguro de Automoveis
Bom dia me chamo T gostaria de uma ajuda para rever um acidente de trânsito no sinistro 333333-333,somos terceiros,sou esposa do G,placa do veículo itf-3333, acidente ocorrido em Canoas dia 33/33 ,foi feita a vistoria tinham nos dado perca total no nosso carro,no da seguradora da mesma forma,ela assumiu a culpa pois tava em alta velocidade e distraída e não nos viu, ocorrendo o acidente, gostaria de saber se temos como resolver,se vcs podem nos ajudar.;DPVAT/SPVAT
"Olá. Acabei de formular denúncia junto à SUSEP em desfavor da seguradora MAG SEGUROS -GRUPO MONGERAL, por estarem fazendo cobranças indevidas em nome de minha mãe, LUÍZA, CPF 333.333.333-33., conforme anexos. Ela desconhece tais cobranças. Apesar de eu estar logado via conta GOV.BR, o sistema concluiu a denúncia dizendo ter sido ""anônima"", e que por isso eu não receberia informações sobre a mesma. Todavia, eu estava logado. Portanto, renovo esta denúncia e gostaria de receber informações sobre a mesma, através de meu e-mail cadastrado no sistema GOV.BR. Obrigado. Glaicon (e-mail).";Seguro de Pessoas
ESTOU COM UM PROBLEMA NA SEGURADORA ALLIANZ QUE HÁ MAIS DE 33 DIAS ESTÃO ANALISANDO UM PAGAMENTO DE INDENIZAÇÃO, OU REJEIÇÃO, NO QUAL ESTOU COMO TERCEIRO EM ACIDENTE DE TRANSITO DESTE O DIA 33/33, SINISTRO ABERTO EM 33/33, NO QUAL REGISTREI UMA MANIFESTAÇÃO JUNTO À SUSEP (3333.33/33333333333 - ALLIANZ SEGUROS) NO DIA 33/33 COM PRAZO DE RESPOSTA PARA 33/33, ACONTECE QUE RESPONDERAM A MANIFESTAÇÃO COMO ESTÁ EM ANÁLISE ! QUER DIZER NÃO RESOLVEU NADA, ERA DIA 33/33 O PRAZO, JÁ PASSARAM PARA O DIA 33/33 E NA MANIFESTAÇÃO FICOU PARA 33/33, NÃO RESOLVERAM NADA ATÉ O MOMENTO. COMO DISSE ANTERIORMENTE O ACIDENTE ACONTECEU EM 33/33, O SINISTRO ABERTO EM 33/33, DESDE ESTA DATA ESTOU AGUARDANDO UMA RESPOSTA POSITIVA OU NEGATIVA, ACONTECE QUE FICAM ENROLANDO DESTE ENTÃO, ESTOU SEM CARRO DESDE 33/33, NÃO CONSIGO PEGAR CARRO RESERVA PQ O SINISTRO ESTÁ EM ABERTO. E A SUSEP NÃO TOMA UMA PROVIDÊNCIA DE EXIGIR UMA RESPOSTA.;Não identificada
Foram enviados todos os documentados solicitados pela empresa acima citada (MAPFRE SEGROS) a qual nos retornou após quase dois ( dois) anos, com a seguinte resposta sendo negativa, a mesma alegou que eu já tinha conhecimento da doença ( DOENÇA CRONICA RENAL) Fiquei sem entender pois todos, exatamente todos documentos de exames foram encaminhados desde o inicio do processo, pois no decorrer dos exames constou a doença acima citada, eu não teria como saber antes disso e quero saber baseado em que me deram essa resposta, após dois longos  e exaustivos anos.;Seguro de Pessoas
Tenho um financiamento pelo santander, meu carro foi furtado e a seguradora pede uma série de documentos. Eu preciso fazer contato com o banco para negociar a quitação, que esta maior do que o seguro paga. Eles me disseram para negociar com o banco. Só que não consigo contato com ninguém do banco para falar a respeito. Nenhuma rede social, nenhum número. Minha última tentativa foi pela ReclameAqui. Porém, alem da demora, a pessoa não está entendendo qual é minha demanda. Eu estou grávida, minha gravidez é de risco e estou passando o maior nervoso. Como resolveremos tudo isso? Judicialmente? Com um processo de danos morais juntos? Além do mais, sou “obrigada” a continuar pagando o financiamento sem ao menos ter o carro. REPITO: EM MOMENTO ALGUM PODEM ATENDER AS MINHAS TENTATIVAS DE CONTATO! EU PRECISO DE UMA SOLUÇÃO!;Seguro de Automoveis
Preciso solicitar a Susep, mas não consigo, porque  o Gov.br não está aumentando meu nível para ouro. Como proceder? Estou formada há quase um ano.;Cadastro
O nome sistema com solicitação de não sou robô não estou conseguinte efetuar a consulta;Não identificada
Eu Antônio, venho por meio deste formulário, para reivindicar sobre a perícia marcada pela a EMPRESA CHUBB SEGURADORA, para o dia 33/33/3333, não estava possibilitado de estar presente no horário indicado, na Rua Joaquim, nº.333, Bairro Nossa Senhora da Penha, Serra Talhada/PE, pois, estava enfermo. Entrei em contato com a PRESTADORA LAUDARE, pois, alegam que não tem peritos. Deste a data acima citada venho tentando marcar esta perícia. Sendo realizado ligação para NUBANK, dia 33/33/3333 as 33:33, porém, sem êxito, não atendendo a ligação.   Atualmente estou em Crato/CE.;Seguro de Pessoas
Com um seguro auto do Banco do Brasil, com vencimento em 33/33/33, acessei o site para renovação. Para minha surpresa no ato da confirmação das informações, fui surpreendido com o retorno que o seguro não seria renovado pelo motivo não especificado, sendo incluído apenas o código (33) (333-333). Sem qualquer detalhamento o que isso representa. Minha reclamação é no sentido de ser informado o que representa esse código, no simples direito a informação.;Não identificada
Sac protocolo  33333333333333 . Apólice vida mulher  mensal, Certificado  333333333333333;Seguro de Pessoas
